analysis,model_or_variant,analysis_tier,metric,cost_scenario,slice_type,slice_value,portfolio_count,unique_dates,estimate,ci_low,ci_high,p_value,confidence_level,bootstrap_replicates,randomization_replicates,block_length,block_count,repeat_count,status,failure_reason,holm_adjusted_p_value,bh_adjusted_p_value
allocation,guard_disabled,parent_primary,net_mean_log_return,base,market,cn,2,54,,,,,0.94999999999999996,2000,2000,21,0,1,not_estimable,fewer than eight allocation time blocks or one incomplete portfolio block,,
allocation,guard_disabled,parent_primary,net_information_ratio,base,market,cn,2,54,,,,,0.94999999999999996,2000,2000,21,0,1,not_estimable,fewer than eight allocation time blocks or one incomplete portfolio block,,
allocation,guard_disabled,parent_primary,net_mean_log_return,base,market,jp,2,54,,,,,0.94999999999999996,2000,2000,21,0,1,not_estimable,fewer than eight allocation time blocks or one incomplete portfolio block,,
allocation,guard_disabled,parent_primary,net_information_ratio,base,market,jp,2,54,,,,,0.94999999999999996,2000,2000,21,0,1,not_estimable,fewer than eight allocation time blocks or one incomplete portfolio block,,
allocation,guard_disabled,parent_primary,net_mean_log_return,base,market,tw,2,53,,,,,0.94999999999999996,2000,2000,21,0,1,not_estimable,fewer than eight allocation time blocks or one incomplete portfolio block,,
allocation,guard_disabled,parent_primary,net_information_ratio,base,market,tw,2,53,,,,,0.94999999999999996,2000,2000,21,0,1,not_estimable,fewer than eight allocation time blocks or one incomplete portfolio block,,
allocation,guard_disabled,parent_primary,net_mean_log_return,base,period,early,10,27,-9.4744119166648242e-07,-1.6231716477843249e-05,1.3888361347408714e-05,0.95002498750624687,0.94999999999999996,2000,2000,21,20,1,estimable,,,0.95002498750624687
allocation,guard_disabled,parent_primary,net_information_ratio,base,period,early,10,27,-0.0021508225845520146,-0.018007924716514447,0.013457522675006425,0.82108945527236377,0.94999999999999996,2000,2000,21,20,1,estimable,,,0.95002498750624687
allocation,guard_disabled,parent_primary,net_mean_log_return,base,period,late,10,28,-1.7163537097233386e-05,-7.0119548725946568e-05,3.6247925814111769e-05,0.6811594202898551,0.94999999999999996,2000,2000,21,20,1,estimable,,,0.93532338308457708
allocation,guard_disabled,parent_primary,net_information_ratio,base,period,late,10,28,-0.013451354231229562,-0.065612997526829323,0.040222386267998782,0.74662668665667165,0.94999999999999996,2000,2000,21,20,1,estimable,,,0.95002498750624687
allocation,guard_disabled,parent_primary,net_mean_log_return,base,regime,calm,2,7,,,,,0.94999999999999996,2000,2000,21,0,1,not_estimable,fewer than eight allocation time blocks or one incomplete portfolio block,,
allocation,guard_disabled,parent_primary,net_information_ratio,base,regime,calm,2,7,,,,,0.94999999999999996,2000,2000,21,0,1,not_estimable,fewer than eight allocation time blocks or one incomplete portfolio block,,
allocation,guard_disabled,parent_primary,net_mean_log_return,base,regime,normal,6,54,-2.4243700668134235e-05,-5.2484740668554152e-05,7.0519413463364695e-06,0.66466766616691653,0.94999999999999996,2000,2000,21,12,1,estimable,,,0.93532338308457708
allocation,guard_disabled,parent_primary,net_information_ratio,base,regime,normal,6,54,-0.024647663107915108,-0.058884891908267484,0.015611619408088563,0.75012493753123444,0.94999999999999996,2000,2000,21,12,1,estimable,,,0.95002498750624687
allocation,guard_disabled,parent_primary,net_mean_log_return,base,regime,stress,8,55,9.6278600255775629e-06,-2.2604237000900898e-05,4.4517834777080029e-05,0.67866066966516747,0.94999999999999996,2000,2000,21,20,1,estimable,,,0.93532338308457708
allocation,guard_disabled,parent_primary,net_information_ratio,base,regime,stress,8,55,0.01435731108529037,-0.015745935375828201,0.046381457722135699,0.41329335332333833,0.94999999999999996,2000,2000,21,20,1,estimable,,,0.76045977011494259
allocation,risk_inputs_neutralized,smart_decomposition,net_mean_log_return,base,overall,overall,10,55,-1.5777470487930321e-05,-4.0781895212672588e-05,9.4887743308318536e-06,0.32983508245877063,0.94999999999999996,2000,2000,21,30,1,estimable,,,0.7178683385579937
allocation,risk_inputs_neutralized,smart_decomposition,net_information_ratio,base,overall,overall,10,55,-0.017583173818249365,-0.042532037461078503,0.0069391870386681671,0.29435282358820591,0.94999999999999996,2000,2000,21,30,1,estimable,,,0.7178683385579937
allocation,risk_inputs_neutralized,smart_decomposition,net_mean_log_return,base,market,us,2,52,,,,,0.94999999999999996,2000,2000,21,0,1,not_estimable,fewer than eight allocation time blocks or one incomplete portfolio block,,
allocation,risk_inputs_neutralized,smart_decomposition,net_information_ratio,base,market,us,2,52,,,,,0.94999999999999996,2000,2000,21,0,1,not_estimable,fewer than eight allocation time blocks or one incomplete portfolio block,,
allocation,risk_inputs_neutralized,smart_decomposition,net_mean_log_return,base,market,hk,2,52,,,,,0.94999999999999996,2000,2000,21,0,1,not_estimable,fewer than eight allocation time blocks or one incomplete portfolio block,,
allocation,risk_inputs_neutralized,smart_decomposition,net_information_ratio,base,market,hk,2,52,,,,,0.94999999999999996,2000,2000,21,0,1,not_estimable,fewer than eight allocation time blocks or one incomplete portfolio block,,
allocation,risk_inputs_neutralized,smart_decomposition,net_mean_log_return,base,market,cn,2,54,,,,,0.94999999999999996,2000,2000,21,0,1,not_estimable,fewer than eight allocation time blocks or one incomplete portfolio block,,
allocation,risk_inputs_neutralized,smart_decomposition,net_information_ratio,base,market,cn,2,54,,,,,0.94999999999999996,2000,2000,21,0,1,not_estimable,fewer than eight allocation time blocks or one incomplete portfolio block,,
allocation,risk_inputs_neutralized,smart_decomposition,net_mean_log_return,base,market,jp,2,54,,,,,0.94999999999999996,2000,2000,21,0,1,not_estimable,fewer than eight allocation time blocks or one incomplete portfolio block,,
allocation,risk_inputs_neutralized,smart_decomposition,net_information_ratio,base,market,jp,2,54,,,,,0.94999999999999996,2000,2000,21,0,1,not_estimable,fewer than eight allocation time blocks or one incomplete portfolio block,,
allocation,risk_inputs_neutralized,smart_decomposition,net_mean_log_return,base,market,tw,2,53,,,,,0.94999999999999996,2000,2000,21,0,1,not_estimable,fewer than eight allocation time blocks or one incomplete portfolio block,,
allocation,risk_inputs_neutralized,smart_decomposition,net_information_ratio,base,market,tw,2,53,,,,,0.94999999999999996,2000,2000,21,0,1,not_estimable,fewer than eight allocation time blocks or one incomplete portfolio block,,
allocation,risk_inputs_neutralized,smart_decomposition,net_mean_log_return,base,period,early,10,27,-2.9144324669927164e-05,-5.4055450060040366e-05,-4.5800722392129892e-06,0.02498750624687656,0.94999999999999996,2000,2000,21,20,1,estimable,,,0.25747126436781609
allocation,risk_inputs_neutralized,smart_decomposition,net_information_ratio,base,period,early,10,27,-0.028555686022669446,-0.05546810604844301,-0.0039208453744480412,0.033483258370814596,0.94999999999999996,2000,2000,21,20,1,estimable,,,0.28004179728317663
allocation,risk_inputs_neutralized,smart_decomposition,net_mean_log_return,base,period,late,10,28,-3.0986161535355179e-06,-3.7473409145711856e-05,3.0872611793952553e-05,0.91754122938530736,0.94999999999999996,2000,2000,21,20,1,estimable,,,0.95002498750624687
allocation,risk_inputs_neutralized,smart_decomposition,net_information_ratio,base,period,late,10,28,-0.010795500536685765,-0.043074206372804597,0.021367951161469421,0.71464267866066966,0.94999999999999996,2000,2000,21,20,1,estimable,,,0.95002498750624687
allocation,risk_inputs_neutralized,smart_decomposition,net_mean_log_return,base,regime,calm,2,7,,,,,0.94999999999999996,2000,2000,21,0,1,not_estimable,fewer than eight allocation time blocks or one incomplete portfolio block,,
allocation,risk_inputs_neutralized,smart_decomposition,net_information_ratio,base,regime,calm,2,7,,,,,0.94999999999999996,2000,2000,21,0,1,not_estimable,fewer than eight allocation time blocks or one incomplete portfolio block,,
allocation,risk_inputs_neutralized,smart_decomposition,net_mean_log_return,base,regime,normal,6,54,2.3354912807155011e-06,-3.0876078211438655e-05,3.446746060227333e-05,0.90404797601199405,0.94999999999999996,2000,2000,21,12,1,estimable,,,0.95002498750624687
allocation,risk_inputs_neutralized,smart_decomposition,net_information_ratio,base,regime,normal,6,54,0.020798728378443654,-0.011187756910700938,0.052522743005464056,0.21489255372313842,0.94999999999999996,2000,2000,21,12,1,estimable,,,0.69940787182166497
allocation,risk_inputs_neutralized,smart_decomposition,net_mean_log_return,base,regime,stress,8,55,-1.5396597636485859e-05,-4.5180320479144508e-05,1.4447149262857053e-05,0.45127436281859068,0.94999999999999996,2000,2000,21,20,1,estimable,,,0.76683087027914609
allocation,risk_inputs_neutralized,smart_decomposition,net_information_ratio,base,regime,stress,8,55,-0.015128147596582986,-0.040975689895896318,0.011373812741320528,0.46026986506746626,0.94999999999999996,2000,2000,21,20,1,estimable,,,0.76683087027914609
allocation,regime_input_neutralized,smart_decomposition,net_mean_log_return,base,overall,overall,10,55,-6.3455643371963799e-07,-7.3333549687456034e-06,5.6285695837968285e-06,0.85407296351824091,0.94999999999999996,2000,2000,21,30,1,estimable,,,0.95002498750624687
allocation,regime_input_neutralized,smart_decomposition,net_information_ratio,base,overall,overall,10,55,-0.00041227327355042309,-0.0070492836514542603,0.005884742584320919,0.90404797601199405,0.94999999999999996,2000,2000,21,30,1,estimable,,,0.95002498750624687
allocation,regime_input_neutralized,smart_decomposition,net_mean_log_return,base,market,us,2,52,,,,,0.94999999999999996,2000,2000,21,0,1,not_estimable,fewer than eight allocation time blocks or one incomplete portfolio block,,
allocation,regime_input_neutralized,smart_decomposition,net_information_ratio,base,market,us,2,52,,,,,0.94999999999999996,2000,2000,21,0,1,not_estimable,fewer than eight allocation time blocks or one incomplete portfolio block,,
allocation,regime_input_neutralized,smart_decomposition,net_mean_log_return,base,market,hk,2,52,,,,,0.94999999999999996,2000,2000,21,0,1,not_estimable,fewer than eight allocation time blocks or one incomplete portfolio block,,
allocation,regime_input_neutralized,smart_decomposition,net_information_ratio,base,market,hk,2,52,,,,,0.94999999999999996,2000,2000,21,0,1,not_estimable,fewer than eight allocation time blocks or one incomplete portfolio block,,
allocation,regime_input_neutralized,smart_decomposition,net_mean_log_return,base,market,cn,2,54,,,,,0.94999999999999996,2000,2000,21,0,1,not_estimable,fewer than eight allocation time blocks or one incomplete portfolio block,,
allocation,regime_input_neutralized,smart_decomposition,net_information_ratio,base,market,cn,2,54,,,,,0.94999999999999996,2000,2000,21,0,1,not_estimable,fewer than eight allocation time blocks or one incomplete portfolio block,,
allocation,regime_input_neutralized,smart_decomposition,net_mean_log_return,base,market,jp,2,54,,,,,0.94999999999999996,2000,2000,21,0,1,not_estimable,fewer than eight allocation time blocks or one incomplete portfolio block,,
allocation,regime_input_neutralized,smart_decomposition,net_information_ratio,base,market,jp,2,54,,,,,0.94999999999999996,2000,2000,21,0,1,not_estimable,fewer than eight allocation time blocks or one incomplete portfolio block,,
allocation,regime_input_neutralized,smart_decomposition,net_mean_log_return,base,market,tw,2,53,,,,,0.94999999999999996,2000,2000,21,0,1,not_estimable,fewer than eight allocation time blocks or one incomplete portfolio block,,
allocation,regime_input_neutralized,smart_decomposition,net_information_ratio,base,market,tw,2,53,,,,,0.94999999999999996,2000,2000,21,0,1,not_estimable,fewer than eight allocation time blocks or one incomplete portfolio block,,
allocation,regime_input_neutralized,smart_decomposition,net_mean_log_return,base,period,early,10,27,4.1829674055336458e-06,-2.155660826553987e-06,1.0605937498281862e-05,0.36781609195402298,0.94999999999999996,2000,2000,21,20,1,estimable,,,0.72291513817559294
allocation,regime_input_neutralized,smart_decomposition,net_information_ratio,base,period,early,10,27,0.004051633176541336,-0.0023333390512256399,0.010993233351066009,0.40579710144927539,0.94999999999999996,2000,2000,21,20,1,estimable,,,0.76045977011494259
allocation,regime_input_neutralized,smart_decomposition,net_mean_log_return,base,period,late,10,28,-5.2041194871287142e-06,-1.2832778178666682e-05,2.1297654918329508e-06,0.37731134432783608,0.94999999999999996,2000,2000,21,20,1,estimable,,,0.72318007662835249
