analysis,model_or_variant,metric,slice_type,slice_value,planned_repeats,successful_repeats,unique_dates,positive_events,portfolio_count,estimate,ci_low,ci_high,p_value,confidence_level,bootstrap_replicates,randomization_replicates,block_length,block_count,repeat_count,status,failure_reason,holm_adjusted_p_value,bh_adjusted_p_value
warning,gradient_boosting,average_precision,market,hk,5,5,51,7,2,,,,,0.94999999999999996,2000,2000,20,0,5,not_estimable,fewer than 20 positive events,,
warning,gradient_boosting,brier_score,market,hk,5,5,51,7,2,,,,,0.94999999999999996,2000,2000,20,0,5,not_estimable,fewer than 20 positive events,,
warning,gradient_boosting,recall_at_frozen_threshold,market,hk,5,5,51,7,2,,,,,0.94999999999999996,2000,2000,20,0,5,not_estimable,fewer than 20 positive events,,
warning,gradient_boosting,average_precision,market,cn,5,5,53,13,2,,,,,0.94999999999999996,2000,2000,20,0,5,not_estimable,fewer than 20 positive events,,
warning,gradient_boosting,brier_score,market,cn,5,5,53,13,2,,,,,0.94999999999999996,2000,2000,20,0,5,not_estimable,fewer than 20 positive events,,
warning,gradient_boosting,recall_at_frozen_threshold,market,cn,5,5,53,13,2,,,,,0.94999999999999996,2000,2000,20,0,5,not_estimable,fewer than 20 positive events,,
warning,gradient_boosting,average_precision,market,jp,5,5,53,3,2,,,,,0.94999999999999996,2000,2000,20,0,5,not_estimable,fewer than 20 positive events,,
warning,gradient_boosting,brier_score,market,jp,5,5,53,3,2,,,,,0.94999999999999996,2000,2000,20,0,5,not_estimable,fewer than 20 positive events,,
warning,gradient_boosting,recall_at_frozen_threshold,market,jp,5,5,53,3,2,,,,,0.94999999999999996,2000,2000,20,0,5,not_estimable,fewer than 20 positive events,,
warning,gradient_boosting,average_precision,market,tw,5,5,53,16,2,,,,,0.94999999999999996,2000,2000,20,0,5,not_estimable,fewer than 20 positive events,,
warning,gradient_boosting,brier_score,market,tw,5,5,53,16,2,,,,,0.94999999999999996,2000,2000,20,0,5,not_estimable,fewer than 20 positive events,,
warning,gradient_boosting,recall_at_frozen_threshold,market,tw,5,5,53,16,2,,,,,0.94999999999999996,2000,2000,20,0,5,not_estimable,fewer than 20 positive events,,
warning,gradient_boosting,average_precision,period,early,5,5,27,32,10,,,,,0.94999999999999996,2000,2000,20,0,5,not_estimable,fewer than 40 unique dates,,
warning,gradient_boosting,brier_score,period,early,5,5,27,32,10,,,,,0.94999999999999996,2000,2000,20,0,5,not_estimable,fewer than 40 unique dates,,
warning,gradient_boosting,recall_at_frozen_threshold,period,early,5,5,27,32,10,,,,,0.94999999999999996,2000,2000,20,0,5,not_estimable,fewer than 40 unique dates,,
warning,gradient_boosting,average_precision,period,late,5,5,27,18,10,,,,,0.94999999999999996,2000,2000,20,0,5,not_estimable,fewer than 40 unique dates,,
warning,gradient_boosting,brier_score,period,late,5,5,27,18,10,,,,,0.94999999999999996,2000,2000,20,0,5,not_estimable,fewer than 40 unique dates,,
warning,gradient_boosting,recall_at_frozen_threshold,period,late,5,5,27,18,10,,,,,0.94999999999999996,2000,2000,20,0,5,not_estimable,fewer than 40 unique dates,,
warning,gradient_boosting,average_precision,regime,calm,5,5,7,2,2,,,,,0.94999999999999996,2000,2000,20,0,5,not_estimable,fewer than 40 unique dates,,
warning,gradient_boosting,brier_score,regime,calm,5,5,7,2,2,,,,,0.94999999999999996,2000,2000,20,0,5,not_estimable,fewer than 40 unique dates,,
warning,gradient_boosting,recall_at_frozen_threshold,regime,calm,5,5,7,2,2,,,,,0.94999999999999996,2000,2000,20,0,5,not_estimable,fewer than 40 unique dates,,
warning,gradient_boosting,average_precision,regime,normal,5,5,53,21,6,0.0086909379862032954,0.0058287859163337575,0.014283608410408549,0.00049975012493753122,0.94999999999999996,2000,2000,20,15,5,estimable,,,0.016491754122938532
